"month","price"
12,73
12,73
12,73
12,73
12,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
11,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
2,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,73
12,98
12,98
12,98
12,98
12,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
3,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
2,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
11,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,98
12,124
12,124
12,124
12,124
12,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
11,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
3,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
2,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
12,124
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
3,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
2,100
12,100
12,100
12,100
12,100
12,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
11,100
2,100
2,100
2,100
2,100
2,100
2,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,100
12,70
12,70
12,70
12,70
12,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
11,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
2,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,145
12,145
12,145
12,145
12,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
11,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
2,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
12,145
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
3,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
2,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
11,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
12,299
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
3,453
2,453
12,453
12,453
12,453
12,453
12,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
11,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
2,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
12,453
